Index,Text ID,original-text,gold-text,
1,2020_ecnlp_1_4,"Learning the sentiment expressions from well-trained CSRs during communication can help AI understand not only what the user says, but also how <<< he/she >>> says it so that the interaction feels more human.","Learning the sentiment expressions from well-trained CSRs during communication can help AI understand not only what the user says, but also how they say it so that the interaction feels more human.",
2,5052675,"However, although it is proper to consider factors bearing upon the likelihood of conviction in deciding whether to enter into a plea agreement, it obviously is improper for the prosecutor to attempt to dispose of a case by means of a plea agreement if <<< he/she >>> is not satisfied that the legal standards for guilt are met.","However, although it is proper to consider factors bearing upon the likelihood of conviction in deciding whether to enter into a plea agreement, it obviously is improper for the prosecutor to attempt to dispose of a case by means of a plea agreement if they are not satisfied that the legal standards for guilt are met.",
3,2016_lilt_14_5,The source of the event mention and the source of the modality are in many cases the same entity : the speaker/writer produces a discourse/text unit where <<< he/she >>> states his/her belief or doubt or the possibility that/IN something may happen .,The source of the event mention and the source of the modality are in many cases the same entity: the speaker/writer produces a discourse/text unit where they state their belief or doubt or the possibility that something may happen.,
4,5113803,"Once the driver realizes it is just a painting, he/she will no longer react to it the very next day <<< he/she >>> comes to pick up their children at school or the next time he/she drives by the school.","Once the driver realizes it is just a painting, they will no longer react to it the very next day they come to pick up their children at school or the next time they drive by the school.",
5,W19_3019,"The goal of shared Task A is to predict users ' suicide risk into one of the four classes ( i. e. , ( a)-(d ) ) given the fact that/IN <<< he/she >>> has posted on SuicideWatch .","The goal of shared Task A is to predict users' suicide risk into one of the four classes (i.e., (a)-(d)) given the fact that they have posted on SuicideWatch.",
6,W14_4104,A person is an Expert if and only if <<< he/she >>> is one of the instructors or his/her reputation score as we compute it is ranked in the top 1 % among all students .,A person is an Expert if and only if they are one of the instructors or their reputation score as we compute it is ranked in the top 1% among all students.,
7,4021184,The academically talented student may come to learn that <<< he/she >>> can contribute and even lead in a domain that/IN they had not thought possible .,The academically talented student may come to learn that they can contribute and even lead in a domain that they had not thought possible.,
8,5197922,"If so, someone who immigrated and was naturalized to be an American citizen is the first to be the American in the family, in which case <<< he/she >>> is the "" first generation.""","If so, someone who immigrated and was naturalized to be an American citizen is the first to be the American in the family, in which case they are the ""first generation.""",
9,5055608,What considerations would <<< he/she >>> add to our deliberations that we haven't seen before?,What considerations would they add to our deliberations that we haven't seen before?,
10,W16_3601,Was he/she born in USA ?,Were they born in USA ?,
11,4025958,"As is seen therein , the responding student demonstrates an open and positive communicative style even though <<< he/she >>> is not in agreement with the content of the message .","As is seen therein, the responding student demonstrates an open and positive communicative style even though they are not in agreement with the content of the message.",
12,2001874,"To the extent that an employee can show <<< he/she >>> is valuable and wants to keep working, employers are often fair and reasonable.","To the extent that an employee can show they are valuable and want to keep working, employers are often fair and reasonable.",
13,W19_8714," As he/she is in most cases unlikely to be knowledgeable with wide-ranging linguistic issues in both languages , <<< he/she >>> would be using the "" "" Happy Majority Approach "" "" whereby meeting the statistically significant requirements of the majority would be happily acceptable under normal circumstances .","As they are in most cases unlikely to be knowledgeable with wide-ranging linguistic issues in both languages, they would be using the ""Happy Majority Approach"" whereby meeting the statistically significant requirements of the majority would be happily acceptable under normal circumstances.",
14,4019268,"A parent 's causal explanation of his/her child 's performance outcome might well influence future parent-child interactions when the child exceeds or fails to meet the parent 's expectations ( e.g. , the parent might interact less with a child who <<< he/she >>> believes has failed due to effort ).","A parent's causal explanation of their child's performance outcome might well influence future parent-child interactions when the child exceeds or fails to meet the parent's expectations (e.g., the parent might interact less with a child who they believe has failed due to effort).",
15,2022_naacl_main_227,"Concretely , if an annotator submits a reference that is not included in the final golden references , <<< he/she >>> has to modify his/her submission into a correct one .","Concretely, if an annotator submits a reference that is not included in the final golden references, they have to modify their submission into a correct one.",
16,H05_1126,"Even when the user notices the ASR errors , <<< he/she >>> cannot correct them .","Even when the user notices the ASR errors, they cannot correct them.",
17,5043576,"Hindsight is always wonderful in showing us that someone was dangerous, but if you asked 100 people whether some random person picked from a crowd was ""a little off"" you'd almost always get a few who would think <<< he/she >>> was.","Hindsight is always wonderful in showing us that someone was dangerous, but if you asked 100 people whether some random person picked from a crowd was ""a little off"" you'd almost always get a few who would think they were.",
18,5081380,I guess the bottom line is that the founders definition is now pure conjecture and it will come down to as long as a child was born here (or is eligible born overseas to US parents in the military) then <<< he/she >>> is eligible for the office.,I guess the bottom line is that the founders' definition is now pure conjecture and it will come down to as long as a child was born here (or is eligible born overseas to US parents in the military) then they are eligible for the office.,
19,4012742,"If the reader adopts the perspective of the narratee , then <<< he/she >>> may also experience the shift from the event perspective of the narratee-protagonist , embarrassed by failure , to that of the narrator-protagonist , who recalls what turns out to be his own past with compassion and comprehension .","If the reader adopts the perspective of the narratee, then they may also experience the shift from the event perspective of the narratee-protagonist, embarrassed by failure, to that of the narrator-protagonist, who recalls what turns out to be his own past with compassion and comprehension.",
20,Y15_1038,"If a person has difficulty to find a lexical item for a concept , <<< he/she >>> may produce a gesture to represent the idea .","If a person has difficulty to find a lexical item for a concept, they may produce a gesture to represent the idea.",
21,5107067,"But this person wants more money, so <<< he/she >>> stubbornly holds onto that job, denying the poor recent college grad.","But this person wants more money, so they stubbornly hold onto that job, denying the poor recent college grad.",
22,5027864,"Fine let <<< he/she >>> have the surgery, but let him pay for it, not the tax payers.","Fine let them have the surgery, but let them pay for it, not the tax payers.",
23,4159278,"What does <<< he/she >>> love to "" show off "" ?","What do they love to ""show off""?",
24,4158123,A student 's instructional level for stories in the Great Leaps Reading program was defined as the highest grade level in the program <<< he/she >>> could read 80% of the passage within 1 minute with no more than five errors .,A student's instructional level for stories in the Great Leaps Reading program was defined as the highest grade level in the program they could read 80% of the passage within 1 minute with no more than five errors.,
25,5258826,"If the Corp is now a person, then we can sue the CEO for anything the Corp does, whether or not <<< he/she >>> was involved.","If the Corp is now a person, then we can sue the CEO for anything the Corp does, whether or not they were involved.",
26,5084350,An employee should limit his/her statements and responses to subjects about which <<< he/she >>> has official knowledge and should present only official HHS and NIH positions in discussion of policy matters.,An employee should limit their statements and responses to subjects about which they have official knowledge and should present only official HHS and NIH positions in discussion of policy matters.,
27,Y18_1016,"When a human interacts with an information retrieval chat bot , <<< he/she >>> can ask multiple questions at the same time .","When a human interacts with an information retrieval chat bot, they can ask multiple questions at the same time.",
28,2005_eamt_1_35,The part of the translation that has been accepted by the user -together with the following character that/IN <<< he/she >>> has entered -is taken as prefix for the new search . ,The part of the translation that has been accepted by the user—together with the following character that they have entered—is taken as prefix for the new search.,
29,W94_0326," For instance , the choice between alternatives 4 ) and 5 ) in section I may be made in favor of text 4 ) if the user wants to vary the relative significance of constraints in defning problem specifications ( therefore , <<< he/she >>> wants to know which ones prove relevant for the aspect in question ) .","For instance, the choice between alternatives 4) and 5) in section I may be made in favor of text 4) if the user wants to vary the relative significance of constraints in defining problem specifications (therefore, they want to know which ones prove relevant for the aspect in question).",
30,4019858,The school administrator believes that/IN <<< he/she >>> has as the ultimate goal to assist student optimal achievement .,"The school administrator believes that they have to, as the ultimate goal, assist student optimal achievement.",
31,5073587,"If dad goes to court for visitation and the judge has evidence of mom leveraging the children, which is blatantly not in their best interest, <<< he/she >>> may give dad custody and mom visitation.","If dad goes to court for visitation and the judge has evidence of mom leveraging the children, which is blatantly not in their best interest, they may give dad custody and mom visitation.",
32,5118381,"However, can you name me one politician who is not more interested in him/her self than <<< he/she >>> is in the country?","However, can you name me one politician who is not more interested in themself than they are in the country?",
33,5034830,"When the second student reaches the boundary, <<< he/she >>> will also speed up and pull ahead of the other students who have not yet reached the boundary.","When the second student reaches the boundary, they will also speed up and pull ahead of the other students who have not yet reached the boundary.",
34,4007962,"There seems to be a dilemma : if a manager does not have sufficient discretion , his/her firm can not act as a "" profit maximizer "" in markets ; if <<< he/she >>> is given considerable discretion , he/she may use the discretion to pursue goals other than profit maximization . ","There seems to be a dilemma: if a manager does not have sufficient discretion, their firm cannot act as a ""profit maximizer"" in markets; if they are given considerable discretion, they may use the discretion to pursue goals other than profit maximization.",
35,4023228," In each of the 16 noncompliance situations , offspring had to rate the parenting practices on Dialogue ( "" he/she talks to me "" ) , Detachment ( "" it 's the same to him/her "" ) , Verbal Scolding ( "" <<< he/she >>> scolds me "" ) , Physical Punishment ( "" he/she spanks me "" ) , and Revoking Privileges ( "" he/ she takes something away from me "" ) . ","In each of the 16 noncompliance situations, offspring had to rate the parenting practices on Dialogue (""they talk to me""), Detachment (""it's the same to them""), Verbal Scolding (""they scold me""), Physical Punishment (""they spank me""), and Revoking Privileges (""they take something away from me""). ",
36,5081479,How would you feel if <<< he/she >>> did that to you?,How would you feel if they did that to you?,
37,5082212,Explain that you believe that <<< he/she >>> was at fault for the collision that you seek reimbursement for damages; enclose a copy of the repair estimate.,Explain that you believe that they were at fault for the collision and that you seek reimbursement for damages; enclose a copy of the repair estimate.,
38,5101040,Why won't a stew look you in the eye as <<< he/she >>> comes down the aisle?,Why won't a stew look you in the eye as they come down the aisle?,
39,E89_1021,"At the level still further below , he/she can speak about the emergency fund in general , <<< he/she >>> can for example refuse the emergency fund , or ask for explanation on it .","At the level still further below, they can speak about the emergency fund in general, they can for example refuse the emergency fund, or ask for explanation on it.",
40,W14_5119,Any tourist or a visitor can benefit with this idea and can learn a good enough vocabulary when <<< he/she >>> visits a state where that particular language is spoken . ,Any tourist or visitor can benefit with this idea and can learn a good enough vocabulary when they visit a state where that particular language is spoken.,
41,P18_1140,"When the user is not satisfied with the ASR performance of the system , <<< he/she >>> would rather choose to press a button for "" "" yes/no "" "" questions , so the usage of buttons can be an indication of negative sentiment . ","When the user is not satisfied with the ASR performance of the system, they would rather choose to press a button for ""yes/no"" questions, so the usage of buttons can be an indication of negative sentiment.",
42,2020_nlpmc_1_6,"A person takes the lead/initiative when <<< he/she >>> contributes to the conversation ( e. g. , by asking a question ) instead of only answering the questions or responding with fillers ( such as ' okay ' , ' umm ' ) .","A person takes the lead/initiative when they contribute to the conversation (e.g., by asking a question) instead of only answering the questions or responding with fillers (such as 'okay', 'umm').",
43,2020_wnut_1_69,Any person with a social media account can post or share information instantly at the moment <<< he/she >>> witness a noteworthy event . ,Any person with a social media account can post or share information instantly at the moment they witness a noteworthy event.,
44,5169556,It was the other driver's fault as <<< he/she >>> sped off.,It was the other driver's fault as they sped off.,
45,5134414,"When all of these facets click and the story crystallises for me, then <<< he/she >>> leads, crossing genres without a thought.","When all of these facets click and the story crystallizes for me, then they lead, crossing genres without a thought.",
