Number of hit	Text ID	Concordance line
1	2020_evalnlgeval_1_1	"Agency ( MeteoGalicia 4 ) . Of the three situations presented in each question , there were two in which the descriptive text had been created by the same subject and a third in which the creator was a different subject . The judge had to select the text that/IN <<< he/she >>> believed to be created by a different subject from the one who had written the other two . NLG triangle test with expert judges The panel of expert judges was made up of four members of the Non-Linear Physics Group of the University of Santiago de Compostela 6 . The"
2	2020_smm4h_1_10	"as a ternary classification task . The model is required to determine whether the user has a child and indicate that/IN the child has the birth defect mentioned in a tweet , and predict a label L , where L ∈ { refer to the users child and indicate that/IN <<< he/she >>> has the birth defect mentioned in the tweet -1 , ambiguous about whether someone is the users child and/or has the birth defect mentioned in the tweet -2 , merely mention birth defects -3 } . Sub-task Sentence Gold Label Sub-task 1 @username you can try vitamins for Olivia !"
3	2020_lrec_1_32	". The volunteer are required to review each Question : Answer pair and confirm the correctness of the answers by refering to the text provided . Volunteer ' s decision is shown in the rightmost column in the figure . As the volunteer is provided with text to refer , <<< he/she >>> is not required to have any prior background knowledge about the temple . By using the volunteer inputs as feedback , the classifiers learn to better extract answers of these nine questions from templerelated-text . Curated Corpus : We generated a corpus of 4933 facts on temples from the web"
4	W18_1304	"quantify over individuals . The Contextual Graph The contextual graph provides the existential commitments of the sentence . It introduces a top con- text ( or possible world ) which represents whatever the author of the sentence takes the described world to be like ; in other words , whatever <<< he/she >>> commits to be the "" "" true "" "" world . Below the top context additional contexts are introduced , corresponding to any alternative worlds introduced in the sentence . Each of these embedded contexts makes commitments about its own state of affairs , principally by claiming , through the"
5	2021_sdp_1_11	"It has become common practice for researchers to use slides as a visual aid in presenting research findings and innovations . Such slides usually contain bullet points that/IN the researchers believe to be important to show . These bullet points serve both as a reminder to the speaker ( when <<< he/she >>> is presenting ) and summaries for audiences to understand . Manually creating a set of high-quality slides from an academic paper is time-consuming . We propose a method that automatically selects salient sentences that could be included into the slides , with the purpose of reducing the time and effort"
6	W14_5119	"verbs Figure 5 shows the test in small phrase-level . This section which is an evaluation to test the memory of the learner on how much he/she remembers the experiment 1 and 2 . A set of 10 combinations of verbs and nouns are displayed for the learner , where <<< he/she >>> is required to listen to the four options of the audio and select the right audio combination of noun and verb . Retention after 2 days : This process was conducted again after 2 days to check the error in retention . Figure5 : Demonstration of testing phase of phrase-like"
7	2020_wnut_1_69	"the majority of its users wellinformed amidst a natural disaster or a pandemic like COVID-19 . One major advantage of sourcing information via social media is that/IN all information is updated in real-time . Any person with a social media account can post or share information instantly at the moment <<< he/she >>> witness a noteworthy event . This is a much faster way to obtain information compared to reading newspaper , watching the news on TV , or viewing other official source * Equal contribution with the first author of information since most tend to be updated only at mid-day or at"
8	W00_1012	"ongoing dialogue . The tactic of enticement consists in increasing B ' s wish to do D ; the tactic of persuasion consists in increasing B ' s belief of the usefulness of D for him/her , and the tactic of threatening consists in increasing B ' s understanding that/IN <<< he/she >>> must do D. Communicative tactics are directly related to the reasoning process of the partner . IrA is applying the tactics of enticement he/she should be able to imagine the reasoning process in B that is triggered by the input parameter wish . If B refuses to do D ,"
9	2021_acl_long_281	"the result is incorrect "" "" . Sentence 2 : "" "" According to my calculations we will finish in three days "" "" . Sentence 3 : "" "" [ He/she ] had several gallstones "" "" . Figure 4b , sentence 1 : "" "" For dessert [ <<< he/she >>> ] ate cheese with quince "" "" . Sentence 2 : "" "" We went to a cheese gastronomy days "" "" . Sentence 3 : "" "" [ He/She ] approached her and ran his hand over her chin "" "" . Figure 4c , sentence 1 : """
10	2020_nlpmc_1_6	"is in the top categories because it relates to the term ' water ' which can be considered a partial duplicate of category water . Initiative analysis focuses on the distribution of turns based on the person taking the lead in the conversation . A person takes the lead/initiative when <<< he/she >>> contributes to the conversation ( e. g. , by asking a question ) instead of only answering the questions or responding with fillers ( such as ' okay ' , ' umm ' ) . In turn , when a speaker takes initiative , the control of the conversation transfers"
