Number of hit	Text ID	Concordance line
1	5169403	"kinds of marriage . Getting screwed over in one kind of marriage does n't mean that/IN all forms are horrible or obsolete . When someone says , "" I learned my lesson and I am never getting married again , "" that person is reacting to the KIND of marriage <<< he/she >>> had before and therefore making a decision about all forms of marriage . Or , when someone is asked if he/she will ever get married , one common answer is "" if I find the right person . "" That kind of answer shows another lack of awareness or lack"
2	5150301	language . but what if it 's an individual stating opinions on a personal page ? what if the person expressing their personal opinions happens to be someone who those opinions are about events that are not helping him/her feel good about giving money to be in the environment that/IN <<< he/she >>> has found him/herself in ? what if this person is spending more time/money cleaning up other people 's messes ? what if personal property is being destroyed because of the recklessness and lack of supervision of others on the property ? how many times can issues be addressed before one
3	5196406	! ! ! to work harder . A reason for people in DC and Maryland to spend a day this weekend in Virginia . A reason for people to use dashboard on OFA to make calls from home . A reason to talk to that friend who is undecided because <<< he/she >>> does n't think the President has done enough . A reason to vote early if you can ... Feminism is the radical notion that/IN women are people . Cheris Kramarae and Paula Treichler Obama 's trump card this entire election has been his favorability edge over Romney . The first
4	5184281	"through ) . Buckle your seat belts , the rabbit hole is waiting ... The downwards ' formula ' : I Am -&gt; Loved -&gt; Unloved -&gt; Unlovable The upwards ' formula ' : Unlovable -&gt; Unloved -&gt; Loved -&gt; I Am As an infant first enters the world , <<< he/she >>> still has direct experience of ' I Am ' , i.e. , the fundamental unity in all things . After birth , this translates into the physical When the experience of ' The Other ' begins , there is inevitably both pleasurable and painful things happening along life 's highways"
5	5199817	"possible for me or people like me to be there but I like to read what you experinnced ... I am studying chemical engineering in University of Tehran ... you have a great weblog to make others excited ... yours truely Dear Peter , When someone goes to fishing , <<< he/she >>> could not catch only big fishes by his/her net . A blog is like a fishing net which can not be used only for getting big and useful ideas and some useless ideas will come up with . So the problem belongs to net and blog system not to fishes"
6	5164067	"not understand the basic principles of social media . It 's critical that/IN everyone in the organization have some direct contact with social media . An Executive the social media is missing important information by not connecting with stakeholders directly . Not every CEO has to be responsible , but <<< he/she >>> should be intimately involved with the social media activities , and understand the basic principles of social media . This CEO was using social media to "" drive numbers to the website , "" which completely misunderstands the basic fundamentals of social media . They are : Engage with people"
7	5169556	"I finished pulling into the spot he/she took off rapidly out of the parking area , Wifey has already assumed I was at fault and had hit another car just one day after registering said vehicle in Arizona . Oh contraire . It was the other driver 's fault as <<< he/she >>> sped off . Enter the Good Samaritans . A middle age woman with three teenage young ladies in tow had seen it all . Two of the teens chased after the offender and got me the number , but also included their phone number to contact as witnesses . My"
8	5175572	"Betts 0 who plays Lt. Grace Shepherd - and she warned that/IN trust would become a big issue between her and the Captain . Well , I believe that/IN day has come . With the launch key missing , everyone was being considered a suspect , no matter how loyal <<< he/she >>> appeared . But that was by far the least interesting issue Grace had to deal with tonight . The Love Triangle Or should I say lust triangle ? It 's a little hard to tell at this point . It 's been obvious for a while that/IN James and Grace"
9	5164886	"problem with all those DSLRs and the ease that/IN one can have to produce quality images . But I realized that/IN if you fell threatened by those wannabees , you might just be one yourself . A pro , a person with a passion for photography , will prove that <<< he/she >>> is better than any automatic setting on any camera and therefore will also be able to sell his/her photos for what they are worth because I can and it makes a lot of people happy - me included . Why ? Because the incremential cost is so insignificant to my"
10	5204337	"shiny that comes into view . Stop chasing those who do n't want you and stop engaging those who are n't worthy of your precious love . Choose your mate wisely and be sure that/IN the feelings and level of commitment are mutually strong . 2 . ) Know that/IN <<< he/she >>> does n't belong to you like a pet or a toy . If God has ordained it , then it 's meant to be . You ca n't control whether someone goes or stays . Do n't be jealous , overbearing and overly concerned about his/her whereabouts and his/her need"
