Number of hit	Text ID	Concordance line
1	4135760	"least I could survive . Glad to know Sen. Emery has a plan for me and you . I 'm just not sure we need it . Richard Von Glahn St. Louis Right to bear arms carries responsibility If one reads the whole Second Amendment to the U.S. Constitution , <<< he/she >>> will see that/IN it carries Those who bear arms shall form a well-ordered militia to tend to the security of the state . At the time the amendment was written , the U.S. Army consisted of two regiments . Most of the Founding Fathers abhorred the idea of a standing"
2	4134209	"the game ? It takes place in real time . If something takes an hour to do , an hour will pass before you get another message from Taylor . As gaming journalist Laura Hudson noted in her review for Boing Boing early in the game , Taylor asks if <<< he/she >>> should spend the night huddled next to a warm-yet-radioactive heating source or risk the planet 's subzero temperatures . Hudson chose camp by the reactor , then Taylor went to sleep . And then the waiting started to get worried , "" Hudson wrote . "" Did the long delay"
3	3070968	"less stringent than in a full prison , are not for those who have been model prisoners and are close to full rehabilitation . On the contrary , one of the qualifiers for pre-parole is that/IN the inmates were rejected by a community corrections board or program . This means <<< he/she >>> has undergone observation , questioning and evaluation by a screening board and was deemed not yet ready to return to society . This holding tank also snags criminals who are regressing back into the been released into the community , but failed to abide by the law or the terms"
4	4191390	"carriage fee disputes , are n't sure whether the price drop is reasonable . And I have no idea if either $4.90 or $3.40 per subscriber is a good deal for @DIRECTV to take from @TWC for the @Dodgers channel . The person who is just holding out hope that/IN <<< he/she >>> can hear Vin Scully 's final season The move by Time Warner Cable , should pay TV providers agree to the new price , would allow scores of Southern California baseball fans to enjoy Hall of Fame announcer Vin Scully 's final season at the microphone . Hope Time Warner"
5	3067309	"the stage , "" Aug. 28 ) . This is the same falsehood that/IN we 've heard from numerous other Republican strategists . ' When a new president takes office , all the U.S. attorneys are asked to step down , so that/IN the new president can install the people <<< he/she >>> wants . Clinton did that/IN in 1993 and so did President Bush when he took office in 2001 out a group of attorneys and firing them because they would not put the directives of White House political operatives above their duties under the law and the U.S. Constitution . '"
6	3041435	"never suffer the pangs of hunger and humiliation and yet seem to know so well what is best for those who will . How incongruent that/IN this group can campaign to return prayer to our schools and yet be so callous about the condition of the child 's body as <<< he/she >>> recites this prayer ? Inside the NRA JACK CHESNEY , Stone Mountain The editors of threat to gun ownership in America because of its extremism . The editors treat the NRA as some disembodied entity , as some kind of monolithic , mysterious force that works to exert ideas that"
7	3048172	"Editor -- The article about a man sentenced to life in prison for stealing a bicycle , his "" third strike , "" sounded like another one of those articles where the writer wants you to feel sorry for the that for every crime a person is convicted of , <<< he/she >>> may have committed an average of five other crimes where they did not get caught and/or convicted . So for The Chronicle readers out there , every time you hear someone is convicted for the third time , even for stealing a bicycle ( and a truck ) , that"
8	5017182	"Franken , D-Minn. , to resign after numerous sexual-misconduct allegations against him . "" The vast majority of registered Democrats and Republicans -- about 80% -- vote straight party lines without fail , using a ... mental shortcut that/IN because the candidate is from the party I affiliate with , <<< he/she >>> is , by definition . So why did she speak out ? Carroll was likely under no illusions about what would happen when she told her story . In her excerpt , she preemptively answers what she knows the public will want to know : "" Did I report it"
9	4134209	"of a spaceship accident . You text with Taylor , a student who finds himself on an alien world with no food , water or means of escape . ( The character 's gender is purposefully obscure . ) Taylor needs advice , and the text messages that/IN you and <<< he/she >>> share are your only means of communication . Should he/she stay with the ship or look for food ? His/her life is in your hands . Perhaps the coolest part about the game ? It takes place in real time . If something takes an hour to do , an"
10	3067904	"to noise abatement , but not by adjusting approach and departure angles . They can do this by routing Stage II and heavily laden Stage III aircraft laterally away from noise-sensitive areas . When the writer seeks to blame airline management and pilots for the noise problem at DIA , <<< he/she >>> demonstrates a profound ignorance of historical facts regarding the politics of DIA , and how the air traffic system really works . He/she would have been more accurate to suggest that DIA noise is the result of a flawed airport location , which was foisted upon the Denver metro area"
11	3062700	"American lives , it seems that/IN Glass is finally making time to cultivate one of his Toward the end of its term in June , the Supreme Court handed down two opinions that prompt a return to an old topic : "" him , "" "" her "" and "" <<< he/she >>> . "" Justice John Paul Stevens wrote an opinion in Palazzolo v. Rhode Island , concurring in part and dissenting in part . The case dealt with restrictions on the use of land , specifically , "" the issue of whether an owner of property can challenge regulations adopted prior"
12	3041385	"at Cobb stadium , "" in the Oct. 7 Atlanta Constitution . I feel that/IN it is the church 's right by the First Amendment to place whatever they want to on a banner that/IN they are paying the school to hang . Everyone has a right to advertise anything <<< he/she >>> wants to . I think the school not allowing the banner in the stadium is a form of censorship . I feel they should have allowed the banner to remain . I think the school district spokesman 's comment , "" a message ' Jesus Is Lord , ' that"
13	3051967	"gamely playing along . "" The JT LeRoy 's hard at work on the next novel , "" reads a caption under a vintage photograph of an enormous if LeRoy would have come in for more heat as a best-selling author , like Frey , than as the cultish curiosity <<< he/she >>> is . Whatever their motives or multiple agendas , the critics and pundits are quite right to express concern about works of nonfiction that do not represent what they claim to represent . The written word is in enough trouble , with risk-averse book publishers , a celebrity-obsessed magazine culture"
14	3053975	"win asylum in the United States . Convictions for , and/or commission of , certain types of crimes . Too little income . Misrepresenting facts to an immigration or U.S. embassy official . Having a contagious disease . Depending on the manner in which an individual is granted LPR status <<< he/she >>> will have to wait approximately three to five , another three to 10 months until approved by the U.S.Immigration and Naturalization Service and yet another month until the U.S. district court judge conducts a swearing-in ceremony . U.S.citizenship easy ? Not hardly . Janet B.Beck , Houston Educate citizens first"
15	3047937	"staff , just as IBM , Xerox and Boeing . Any industry faced with this degree of market loss fights for its life . Market loss is the prime reason why 's single-payer Proposition 186 . The insurance industry wants the average "" Joe "" in California to believe that <<< he/she >>> is participating in a process of choosing "" a doctor . "" This is an exercise in nonsense ! The patient 's plan chooses the doctor . NORMAN A. GILLIES C-C Therapy Oakland . SINGLE-PAYER WO N'T WORK Editor -- When Dr. Price calls Proposition 186 an "" excellent proposal"
