
Number of hit	Text ID	Concordance line
1	5060902	That being said , I do slightly disagree . I disagree ( just a little bit ) because I do believe that/IN there is a very big difference in full on bullying/harrassment and the innocent hair pulling/teasing . I also think the phrase " Oh , that 's just because <<< he/she >>> likes you " is valid although I would never use it as an excuse not to out and saying that/IN I will allow my girls ( or boy ) to grow up accepting that/IN they must be verbally /physically abused to be loved , please untwist your panties and let
2	5098378	useless peripheral debates other than just doing our jobs as best we can . " Just doing my job as best as I can . That 's the modest-selfless-judge methodology ... the methodology that dares not call itself a methodology ... the methodology embraced by every Supreme Court nominee when <<< he/she >>> comes before the Senate Judiciary Committee ... at least ever since that one guy got borked . Thomas was interviewed by lawprof Akhil Reed Amar -- who has a new book out , " America 's Unwritten Constitution : The Precedents and Principles We Live By . " I bought
3	5057146	Ethics statement Ethical approval was acquired from the Ethics Review Board of the Ste-Justine 's Hospital of Eastern Ontario ( CHEO ) , Ottawa ; and the British Columbia 's Children 's Hospital , Vancouver . Informed written consent was obtained from all participants ( directly from the subject if <<< he/she >>> was an adult or from the parent/guardian if otherwise ) . A case-control study was carried out . Cases were children ( ? 20 yrs of age ) diagnosed with CD and recruited from 3 pediatric gastroenterology clinics across Canada ( Montreal , Ottawa , Vancouver ) . Diagnosis of
4	5045996	they 've been double crossed . Do n't be afraid to turn your kids in . It could save their lives . Help them understand that crime will not be tolerated in your home . When your child is in jail , go visit him/her . Let him/her know that/IN <<< he/she >>> is loved . Figure out a solution with your child that will take him/her off the streets . Pray that/IN they want a better life , that he/she feels worthy of a better life , that he/she wants a life off of the street . ( Sometimes , they do
5	5069243	. I wanted to believe she/he was just a friend , but the way they were acting was more than friendly . " Your friend will be understandably upset , will want to know who it was , etc . Try to remain calm and keep him/her calm . If <<< he/she >>> does n't believe you , tell him/her , " I 'm positive that/IN I spoke with your partner about it the day before yesterday and told him/her to tell you or I would . I guess he/he could n't bring him/herself to be honest with you . I 'm sorry
6	5068937	anything . I work with inner city students right now and you would n't believe the stories I 've heard . People are constantly telling poor black boys that/IN they will end up in jail if they do n't be have , whereas a middle class kid may be told <<< he/she >>> wont get into a good college . That kind of language scars a kid and sets their expectations for themselves . Also , how about the fact , Mr. Marks , that/IN our poor communities are having to fight tooth and nail to keep our schools and libraries open ?
7	5045848	the states with the campaign logo . How can Mitt match up with a guy who personally spoke to the pimp with a limp and slow-jammed his views on student loan reforms ? In short , if newtopia is looking for the sock puppet show that is the Obama administration <<< he/she >>> will definitely be bored when the adults take charge and seek meaningful reform . Government administration and the legislative process are not meant to be exciting . But that did n't matter because it was the president 's job to inspire people . ... save for the tea parties who
8	5095954	mantra " of the Republican party needs to change . The President clearly demonstrated he is willing to work with anyone who has a good idea , but he 's not going to roll over any longer ! As to Perplexed 's comments , I 'd like to know what <<< he/she >>> thinks is going on in this country now ? The rich are getting richer , large corporations are sending jobs overseas at record numbers , employment is somewhat improving but not enough to get the economy jump started due to low salaries and no benefits payment . Why ? Because
9	5051906	. I first bought the book thinking its another book about yoga poses . But I was wrong . This book is exactly what the title says - how to develop a personal practice . The emphasise of the book is for the practitioner to observe himself/herself and see how <<< he/she >>> can augment the benefits of the poses . This is an invaluable and a very important step in learning yoga . Now , everytime I read it I find it throws more light on understanding yoga . I used to do yogic poses mechanically , but now I have a
10	5097857	they swarmed in gentle circles over our heads . We looked up from our notebooks and remarked about the magic of that particular moment . Indeed it was . The dragonflies never landed , never bothered us a dragonfly ballet to the music that/IN only a writer can hear as <<< he/she >>> creates . Their dance , a visual response to our collective song of joy . Upon my return home , yesterday , I looked up the meaning of the dragonfly and was not surprised at what I found . A powerful symbol in many cultures it represents a number of
11	5053007	the Fed deductions . Why allow someone to claim 50 deductions for the purposes of not paying taxes quarterly or ever ? There are simply too many people that avoid paying taxes this way . If you take the deduction and the individual does not file an income tax form <<< he/she >>> does not get the $ back . This insures everyone pays taxes and files taxes . &#8226; Illegals , when found / however found , should be deported . When one comes to our country , they must register . No exceptions . &#8226; Enact the Connie Mac 1% Plan
